gvkey,datadate,fyearq,fqtr,fyr,indfmt,consol,popsrc,datafmt,tic,conm,curcdq,datacqtr,datafqtr,atq,ceqq,cheq,chq,cshoq,dlcq,dlttq,oiadpq,oibdpq,ppentq,rectq,rectrq,saleq,xrdq,xsgaq,exchg,costat,busdesc,city,naics,sic
001690,19791231,1980,1,9,INDL,C,D,STD,AAPL,APPLE INC,USD,1979Q4,1980Q1,24.6360,12.3740,4.9680,,43.5750,,0.1970,5.1780,,1.1880,9.9200,,19.5400,,3.8170,14,A,"Apple Inc. designs, manufactures, and markets mobile communication and media devices, personal computers, and portable digital music players to consumers, small and mid-sized businesses, and education, enterprise, and government customers worldwide.",Cupertino,334220,3663
001690,19800331,1980,2,9,INDL,C,D,STD,AAPL,APPLE INC,USD,1980Q1,1980Q2,30.3530,15.7210,5.3610,,45.8380,,0.1880,5.5090,,1.5500,9.2920,,23.5500,,4.7730,14,A,"Apple Inc. designs, manufactures, and markets mobile communication and media devices, personal computers, and portable digital music players to consumers, small and mid-sized businesses, and education, enterprise, and government customers worldwide.",Cupertino,334220,3663
001690,19800630,1980,3,9,INDL,C,D,STD,AAPL,APPLE INC,USD,1980Q2,1980Q3,41.7070,19.7810,0.4150,,46.1580,,0.4270,5.4880,,2.4720,15.0690,,32.5690,,7.9980,14,A,"Apple Inc. designs, manufactures, and markets mobile communication and media devices, personal computers, and portable digital music players to consumers, small and mid-sized businesses, and education, enterprise, and government customers worldwide.",Cupertino,334220,3663
001690,19800930,1980,4,9,INDL,C,D,STD,AAPL,APPLE INC,USD,1980Q3,1980Q4,65.3500,25.9490,2.4740,,48.3970,0.2540,0.6700,7.4110,,4.7790,17.4410,,41.4670,,9.6230,14,A,"Apple Inc. designs, manufactures, and markets mobile communication and media devices, personal computers, and portable digital music players to consumers, small and mid-sized businesses, and education, enterprise, and government customers worldwide.",Cupertino,334220,3663
001690,19801231,1981,1,9,INDL,C,D,STD,AAPL,APPLE INC,USD,1980Q4,1981Q1,162.1220,131.0050,74.6880,,54.6220,,0.8000,14.9140,16.0630,9.2280,32.4840,,67.6210,,14.6900,14,A,"Apple Inc. designs, manufactures, and markets mobile communication and media devices, personal computers, and portable digital music players to consumers, small and mid-sized businesses, and education, enterprise, and government customers worldwide.",Cupertino,334220,3663
001690,19810331,1981,2,9,INDL,C,D,STD,AAPL,APPLE INC,USD,1981Q1,1981Q2,190.7390,147.0460,75.8860,,55.2370,,1.1790,14.8470,16.3900,10.2880,42.4250,,78.7650,,19.3180,14,A,"Apple Inc. designs, manufactures, and markets mobile communication and media devices, personal computers, and portable digital music players to consumers, small and mid-sized businesses, and education, enterprise, and government customers worldwide.",Cupertino,334220,3663
001690,19810630,1981,3,9,INDL,C,D,STD,AAPL,APPLE INC,USD,1981Q2,1981Q3,222.3470,164.0790,77.6380,,55.1360,1.1130,1.3900,20.2180,22.0820,15.7930,45.0120,,90.7190,,23.4140,14,A,"Apple Inc. designs, manufactures, and markets mobile communication and media devices, personal computers, and portable digital music players to consumers, small and mid-sized businesses, and education, enterprise, and government customers worldwide.",Cupertino,334220,3663
001690,19810930,1981,4,9,INDL,C,D,STD,AAPL,APPLE INC,USD,1981Q3,1981Q4,254.8380,177.3870,72.8340,,55.3090,0.9310,1.9090,16.1640,20.1980,22.3710,42.3300,,97.6780,,30.8570,14,A,"Apple Inc. designs, manufactures, and markets mobile communication and media devices, personal computers, and portable digital music players to consumers, small and mid-sized businesses, and education, enterprise, and government customers worldwide.",Cupertino,334220,3663
001690,19811231,1982,1,9,INDL,C,D,STD,AAPL,APPLE INC,USD,1981Q4,1982Q1,285.1860,192.2920,76.1570,,55.4210,,1.6880,23.2250,26.2850,27.8660,65.0430,,133.5530,,43.1790,14,A,"Apple Inc. designs, manufactures, and markets mobile communication and media devices, personal computers, and portable digital music players to consumers, small and mid-sized businesses, and education, enterprise, and government customers worldwide.",Cupertino,334220,3663
001690,19820331,1982,2,9,INDL,C,D,STD,AAPL,APPLE INC,USD,1982Q1,1982Q2,302.3890,217.2890,101.3130,,56.4880,,1.6800,23.4130,27.3070,31.6150,58.1220,,131.0190,,41.9030,14,A,"Apple Inc. designs, manufactures, and markets mobile communication and media devices, personal computers, and portable digital music players to consumers, small and mid-sized businesses, and education, enterprise, and government customers worldwide.",Cupertino,334220,3663
001690,19820630,1982,3,9,INDL,C,D,STD,AAPL,APPLE INC,USD,1982Q2,1982Q3,323.9610,234.5340,122.5210,,56.7430,,2.1310,25.0350,29.9910,33.4440,62.7340,,142.6810,,47.7490,14,A,"Apple Inc. designs, manufactures, and markets mobile communication and media devices, personal computers, and portable digital music players to consumers, small and mid-sized businesses, and education, enterprise, and government customers worldwide.",Cupertino,334220,3663
001690,19820930,1982,4,9,INDL,C,D,STD,AAPL,APPLE INC,USD,1982Q3,1982Q4,357.7870,257.0920,153.0560,,57.1230,1.1690,2.0520,30.5360,35.1820,34.4830,71.4780,,175.8080,,60.0200,14,A,"Apple Inc. designs, manufactures, and markets mobile communication and media devices, personal computers, and portable digital music players to consumers, small and mid-sized businesses, and education, enterprise, and government customers worldwide.",Cupertino,334220,3663
